iso3,country_name,year,start_date,start_date_accuracy,end_date,end_date_accuracy,event_name,hazard_category,hazard_category_name,hazard_sub_category,hazard_sub_category_name,hazard_type,hazard_type_name,hazard_sub_type,hazard_subtype_name,new_displacement,new_displacement_rounded,total_displacement,total_displacement_rounded,event_codes
BGD,Bangladesh,2008,2008-07-01,Month,2008-07-01,Month,Bangladesh: Flood - 01/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,2250,2200,,,
BGD,Bangladesh,2008,2008-08-16,Day,2008-08-16,Day,Bangladesh: Landslide/Wet mass movement - 16/08/2008,2,Weather related,3,Hydrological,11,Mass Movement,15,,1657,1700,,,
BGD,Bangladesh,2008,2008-08-30,Day,2008-09-08,Day,Bangladesh: Flood - 30/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,57440,57000,,,
BGD,Bangladesh,2009,2009-01-01,Month,,,Bangladesh: Flood - 01/01/2009,2,Weather related,3,Hydrological,10,Flood,13,,500000,500000,,,
BGD,Bangladesh,2009,2009-01-01,Month,,,Cyclone 'aila',2,Weather related,4,Meteorological,14,Storm,21,,842000,842000,,,
BGD,Bangladesh,2010,2010-01-01,Month,,,Bangladesh: Flood - 01/01/2010,2,Weather related,3,Hydrological,10,Flood,13,,12000,12000,,,
BGD,Bangladesh,2010,2010-01-01,Month,,,Bangladesh: Flood - 01/01/2010,2,Weather related,3,Hydrological,10,Flood,13,,500000,500000,,,
BGD,Bangladesh,2010,2010-01-01,Month,,,Bangladesh: Landslide/Wet mass movement - 01/01/2010,2,Weather related,3,Hydrological,11,Mass Movement,15,,12000,12000,,,
BGD,Bangladesh,2010,2010-01-01,Month,,,Bangladesh: Storm - 01/01/2010,2,Weather related,4,Meteorological,14,Storm,21,,45000,45000,,,
BGD,Bangladesh,2011,2011-01-01,Month,,,Bangladesh: Flood - 01/01/2011,2,Weather related,3,Hydrological,10,Flood,13,,400000,400000,,,
BGD,Bangladesh,2012,2012-01-01,Month,,,Bangladesh: Flood - 01/01/2012,2,Weather related,3,Hydrological,10,Flood,13,,600000,600000,,,
BGD,Bangladesh,2012,2012-01-01,Month,,,Bangladesh: Storm - 01/01/2012,2,Weather related,4,Meteorological,14,Storm,21,,50788,51000,,,
BGD,Bangladesh,2013,2013-03-23,Day,2013-03-01,Month,Brahmanbaria tornado,2,Weather related,4,Meteorological,14,Storm,21,,37149,37000,,,
BGD,Bangladesh,2013,2013-05-16,Day,2013-05-01,Month,Cyclone mahasen,2,Weather related,4,Meteorological,14,Storm,21,,1100000,1100000,,,
BGD,Bangladesh,2013,2013-06-01,Day,2013-08-30,Day,Erosion following floods in kurigram district,2,Weather related,3,Hydrological,10,Flood,13,,14280,14000,,,
BGD,Bangladesh,2013,2013-07-01,Day,2013-07-30,Day,"Thakurgaon, gaibandha, dinajpur panchagarh, nilphamari, lalmoirhat, kurigram, jamalpur and sirajgonj july floods",2,Weather related,3,Hydrological,10,Flood,13,,8400,8400,,,
BGD,Bangladesh,2014,2014-04-27,Day,2014-04-28,Day,Netrokona thunderstorm,2,Weather related,4,Meteorological,14,Storm,21,,1000,1000,,,
BGD,Bangladesh,2014,2014-08-13,Day,2014-09-30,Day,North-west floods,2,Weather related,3,Hydrological,10,Flood,13,,542000,542000,,,
BGD,Bangladesh,2015,2015-04-05,Day,2015-04-08,Day,Bogra nor'wester,2,Weather related,4,Meteorological,14,Storm,21,,95201,95000,,,
BGD,Bangladesh,2015,2015-04-25,Day,2015-04-25,Day,Gorkha earthquake - repercussions in bangladesh,1,Geophysical,1,Geophysical,1,Earthquake,1,,100,100,,,
BGD,Bangladesh,2015,2015-06-17,Day,2015-06-30,Day,Northern districts flash floods,2,Weather related,3,Hydrological,10,Flood,13,,96398,96000,,,
BGD,Bangladesh,2015,2015-07-30,Day,2015-08-02,Day,Cyclone komen,2,Weather related,4,Meteorological,14,Storm,24,,331000,331000,,,
BGD,Bangladesh,2015,2015-08-18,Day,2015-08-21,Day,Sylhet district flash floods,2,Weather related,3,Hydrological,10,Flood,13,,8400,8400,,,
BGD,Bangladesh,2016,2016-05-17,Day,2016-05-23,Day,Bangladesh; Sri Lanka: Tropical cyclone Roanu - 17/05/2016,2,Weather related,4,Meteorological,14,Storm,24,,496260,496000,,,
BGD,Bangladesh,2016,2016-07-25,Week,2016-08-11,Week,Bangladesh: Monsoon floods - 25/07/2016,2,Weather related,3,Hydrological,10,Flood,13,,83850,84000,,,FL-2016-000075-BGD
BGD,Bangladesh,2016,2016-08-14,Day,2016-08-24,Day,Indonesia: Floods - Jessore - 14/08/2016,2,Weather related,3,Hydrological,10,Flood,13,,33600,34000,,,
BGD,Bangladesh,2017,2017-03-28,Day,2017-04-17,Day,"Bangladesh : Riverbanck erosion - Sirajganj , Shariatpur - 12/04/2017",2,Weather related,2,Climatological,6,Erosion,8,,630,630,,,
BGD,Bangladesh,2017,2017-03-28,Day,2017-04-30,Week,"Bangladesh : Northeast Floods - Sylhet, Moulvibazar, Sunamganj, Habiganj, Netrokona, Kishoreganj - 28/03/2017",2,Weather related,3,Hydrological,10,Flood,13,,12012,12000,,,
BGD,Bangladesh,2017,2017-04-03,Day,2017-04-30,Day,Bangladesh: Pabna  and Sunamganj Tornado - 03/04/2017,2,Weather related,4,Meteorological,14,Storm,23,,12117,12000,,,
BGD,Bangladesh,2017,2017-05-28,Day,2017-05-31,Day,Bangladesh; India; Myanmar : Tropical cyclone Mora  - 28/05/2017,2,Weather related,4,Meteorological,14,Storm,24,,477669,478000,,,TC-2017-000058-BGD
BGD,Bangladesh,2017,2017-06-12,Day,2017-06-13,Week,Bangladesh :  Landslides- TC Mora impact - 12/06/2017,2,Weather related,3,Hydrological,11,Mass Movement,15,,6000,6000,,,LS-2017-000068-BGD
BGD,Bangladesh,2017,2017-07-19,Week,2017-08-31,Week,Bangladesh: Monsoon season - Rangpur; Rajshahi; Mymensingh; Sylhet; Chittagong; Dhaka; Khulna - 12/08/2017,2,Weather related,3,Hydrological,10,Flood,13,,436191,436000,,,FL-2017-000108-BGD
BGD,Bangladesh,2017,2017-07-22,Day,2017-07-23,Day,Bangladesh : Landslides -  Chittagong  -  22/07/2017,2,Weather related,3,Hydrological,11,Mass Movement,15,,1500,1500,,,
BGD,Bangladesh,2018,2018-03-30,Day,2018-03-30,Week,Bangladesh:  Nor’wester - Sunamganj -  30/03/2018,2,Weather related,4,Meteorological,14,Storm,21,,168,170,,,
BGD,Bangladesh,2018,2018-04-15,Day,2018-04-15,Week,Bangladesh:  Lightning - Rupganj - 15/04/2018,2,Weather related,4,Meteorological,14,Storm,21,,294,290,,,
BGD,Bangladesh,2018,2018-04-17,Day,2018-04-17,Day,Bangladesh: Nor'wester - Barisal; Bhola; Jhalkathi - 17/04/2018,2,Weather related,4,Meteorological,14,Storm,21,,84,84,,,
BGD,Bangladesh,2018,2018-06-01,Day,2018-06-30,Day,Bangladesh: Landslide risk - Chittagong district - June 2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,2478,2500,,,
BGD,Bangladesh,2018,2018-06-12,Day,2018-06-12,Day,Bangladesh: Flood - Dighinala upazila; Khagrachari district - 12/06/2018,2,Weather related,3,Hydrological,10,Flood,13,,6000,6000,,,
BGD,Bangladesh,2018,2018-06-12,Day,2018-06-20,Week,Bangladesh: Monsoon riverine floods - Sylhet; Moulvibazar districts - 12/06/2018,2,Weather related,3,Hydrological,10,Flood,13,,12405,12000,,,
BGD,Bangladesh,2018,2018-06-15,Day,2018-06-15,Day,Bangladesh: Flash flood - Feni district - 15/06/2018,2,Weather related,3,Hydrological,10,Flood,13,,176,180,,,
BGD,Bangladesh,2018,2018-07-03,Day,2018-07-09,Day,Bangladesh: Waterlogging - Maheshkhali Upazila; Cox’s Bazar district - 03/07/2018,2,Weather related,3,Hydrological,10,Flood,13,,1260,1300,,,
BGD,Bangladesh,2018,2018-09-05,Week,2018-09-19,Week,Bangladesh: Floods - Gaibandha; Bogra; Jamalpur; Tangali districts - September 2018,2,Weather related,3,Hydrological,10,Flood,13,,11357,11000,,,
BGD,Bangladesh,2018,2018-09-06,Day,2018-09-20,Day,Bangladesh: Riverbank erosion - Dhaka (Shariatpur)  - 06/09/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,43550,44000,,,OT-2018-000157-BGD
BGD,Bangladesh,2018,2018-09-18,Day,2018-09-18,Day,Bangladesh: Riverbank erosion - Bagerhat district - 18/09/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,16,16,,,
BGD,Bangladesh,2019,2019-04-02,Day,2019-04-02,Day,Bangladesh: Nor'wester - Joypurhat; Panchbibi - 02/04/2019,2,Weather related,4,Meteorological,14,Storm,21,,2100,2100,,,
BGD,Bangladesh,2019,2019-05-02,Day,2019-05-04,Week,India; Bangladesh: Cyclone Fani - 02/05/2019 ,2,Weather related,4,Meteorological,14,Storm,24,,1666043,1666000,9925,9900,"TC-2019-000041-BGD,TC-2019-000041-IND"
BGD,Bangladesh,2019,2019-05-24,Day,2019-05-25,Day,Bangladesh: Storms and landslides - Cox's Bazar - 24/05/2019,2,Weather related,4,Meteorological,14,Storm,21,,800,800,,,
BGD,Bangladesh,2019,2019-06-17,Week,2019-09-30,Week,Bangladesh: Monsoon - Countrywide - June 2019,2,Weather related,3,Hydrological,10,Flood,13,,307391,307000,1260,1300,FL-2019-000079-BGD
BGD,Bangladesh,2019,2019-06-27,Week,2019-07-14,Week,Bangladesh: Riverbed erosion - Lalmonirhat Sadar Upazila - June 2019,2,Weather related,3,Hydrological,11,Mass Movement,15,,200,200,55,55,
BGD,Bangladesh,2019,2019-10-01,Day,2019-10-05,Day,Bangladesh: Riverline flood -  9 districts - 01/10/2019,2,Weather related,3,Hydrological,10,Flood,13,,244,240,,,
BGD,Bangladesh,2019,2019-10-01,Day,2019-10-07,Day,Bangladesh: Riverbank erosion - 01/10/2019,2,Weather related,3,Hydrological,11,Mass Movement,15,,244,240,,,
BGD,Bangladesh,2019,2019-11-05,Day,2019-11-12,Day,India; Bangladesh: Severe cyclonic storm Bulbul - 05/11/2019,2,Weather related,4,Meteorological,14,Storm,24,,2106918,2107000,69636,70000,TC-2019-000147-BGD
BGD,Bangladesh,2020,2020-01-01,Week,2020-09-20,Week,Bangladesh: River erosion - Rangpur (Kurigram) - 01/01/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,4056,4100,,,
BGD,Bangladesh,2020,2020-04-19,Week,2020-05-03,Week,Bangladesh: River erosion - Tangail - April 2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,8,8,8,8,
BGD,Bangladesh,2020,2020-05-16,Week,2020-05-21,Week,"India, Bangladesh, Myanmar, Bhutan: Cyclone Amphan - Countrywide - 11/05/2020",2,Weather related,4,Meteorological,14,Storm,24,,2508819,2509000,294344,294000,"TC-2020-000135-IND,TC-2020-000136-MMR,TC-2020-000137-BGD"
BGD,Bangladesh,2020,2020-05-25,Day,2020-05-25,Day,Bangladesh: Nor'wester - Rangpur (Lalmonirhat) - 25/05/2020,2,Weather related,4,Meteorological,14,Storm,21,,840,840,840,840,
BGD,Bangladesh,2020,2020-05-27,Day,2020-05-27,Day,Bangladesh: Nor'wester -  Barisal (Bhola) - 27/05/2020,2,Weather related,4,Meteorological,14,Storm,21,,1050,1000,1050,1000,
BGD,Bangladesh,2020,2020-06-02,Day,2020-06-17,Day,"Bangladesh - Riverbank erosion - Dhaka (Tangail), Rangpur (Kurigram, Gaibandha) - 03/06/2020",2,Weather related,3,Hydrological,11,Mass Movement,15,,617,620,840,840,
BGD,Bangladesh,2020,2020-06-06,Day,2020-06-06,Day,Bangladesh: Storm - Chittagong (Brahmanbaria) - 06/06/2020,2,Weather related,4,Meteorological,14,Storm,21,,420,420,420,420,
BGD,Bangladesh,2020,2020-06-09,Day,2020-06-19,Week,Bangladesh - Riverbank erosion - Chittagong (Brahmanbaria) - 09/06/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,21,21,21,21,
BGD,Bangladesh,2020,2020-06-17,Day,2020-06-20,Day,Bangladesh: Landslides - Chittagong (Cox's Bazar) - 17/06/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,2000,2000,,,
BGD,Bangladesh,2020,2020-06-18,Day,2020-06-18,Day,Bangladesh: Tornado - Chittagong (Brahmanbaria) - 18/06/2020,2,Weather related,4,Meteorological,14,Storm,23,,50,50,50,50,
BGD,Bangladesh,2020,2020-06-26,Day,2020-10-01,Week,Bangladesh: Flood [monsoon] - Countrywide - 26/06/2020,2,Weather related,3,Hydrological,10,Flood,13,,1921007,1921000,46200,46000,
BGD,Bangladesh,2020,2020-09-27,Day,2020-09-27,Day,Bangladesh: Tangon river overflowing - Rangpur (Thakurgaon) - 27/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,4200,4200,,,
BGD,Bangladesh,2021,2021-05-23,Day,2021-05-28,Day,"India, Bangladesh: Tropical Cyclone Yaas - 23/05/2021",2,Weather related,4,Meteorological,14,Storm,24,,17567,18000,4183,4200,TC-2021-000058-BGD
BGD,Bangladesh,2021,2021-05-27,Day,2021-05-27,Day,"Bangladesh: Nor'wester - Dhaka (Faridpur), Khulna (Chuadanga) - 27/05/2021",2,Weather related,4,Meteorological,14,Storm,21,,210,210,,,
BGD,Bangladesh,2021,2021-06-01,Day,2021-09-30,Day,Bangladesh: Flood [monsoon] - Barisal Division - 01/06/2021,2,Weather related,3,Hydrological,10,Flood,13,,882,880,882,880,
BGD,Bangladesh,2021,2021-06-01,Day,2021-09-30,Day,Bangladesh: Flood [monsoon] - Chattogram Division - 01/06/2021,2,Weather related,3,Hydrological,10,Flood,13,,61446,61000,10290,10000,FL-2021-000097-BGD
BGD,Bangladesh,2021,2021-06-01,Day,2021-09-30,Day,Bangladesh: Flood [monsoon] - Dhaka Division - 01/06/2021,2,Weather related,3,Hydrological,10,Flood,13,,3927,3900,3751,3800,
BGD,Bangladesh,2021,2021-06-01,Day,2021-09-30,Day,Bangladesh: Flood [monsoon] - Khulna Division - 01/06/2021,2,Weather related,3,Hydrological,10,Flood,13,,800,800,340,340,
BGD,Bangladesh,2021,2021-06-01,Day,2021-09-30,Day,Bangladesh: Flood [monsoon] - Mymensingh Division - 01/06/2021,2,Weather related,3,Hydrological,10,Flood,13,,3207,3200,2432,2400,
BGD,Bangladesh,2021,2021-06-01,Day,2021-09-30,Day,Bangladesh: Flood [monsoon] - Rajshahi Division - 01/06/2021,2,Weather related,3,Hydrological,10,Flood,13,,3885,3900,2520,2500,
BGD,Bangladesh,2021,2021-06-01,Day,2021-09-30,Day,Bangladesh: Flood [monsoon] - Rangpur Division - 01/06/2021,2,Weather related,3,Hydrological,10,Flood,13,,5880,5900,1050,1000,
BGD,Bangladesh,2021,2021-10-20,Week,2021-11-01,Week,Bangladesh: Flood - Rangpur Division (4 Districts) - 20/10/2021 ,2,Weather related,3,Hydrological,10,Flood,13,,840,840,840,840,
BGD,Bangladesh,2021,2021-11-01,Week,2021-11-01,Week,Bangladesh: River Erosion - Dhaka Division (Rajbari) - 01/11/2021,2,Weather related,3,Hydrological,11,Mass Movement,15,,13,13,13,13,
BGD,Bangladesh,2021,2021-11-13,Day,2021-11-13,Day,Bangladesh: Wet Mass Movement - Rajshahi Division (Nawabgonj/Shibgonj) - 13/11/2021,2,Weather related,3,Hydrological,11,Mass Movement,15,,105,100,,,
BGD,Bangladesh,2021,2021-11-21,Week,2021-11-21,Week,Bangladesh: Wet Mass Movement - Rajshahi Division (Sirajganj/Chaulahi) - 21/11/2021,2,Weather related,3,Hydrological,11,Mass Movement,15,,8,8,8,8,
BGD,Bangladesh,2022,2022-04-06,Week,2022-04-16,Week,Bangladesh: Flood - Rajshahi Division (Sirajganj/Sirajganj) - 06/04/2022,2,Weather related,3,Hydrological,10,Flood,13,,24,24,,,
BGD,Bangladesh,2022,2022-04-11,Day,2022-04-11,Day,Bangladesh: Wet Mass Movement - Rangpur Division (Rajarhat/Kurigram) - 11/04/2022,2,Weather related,3,Hydrological,10,Flood,13,,24,24,24,24,
BGD,Bangladesh,2022,2022-04-15,Week,2022-05-15,Week,Bangladesh: Wet Mass Movement - Dhaka Division (Rajbari/Goalanda) - 15/04/2022,2,Weather related,3,Hydrological,10,Flood,13,,203,200,203,200,
BGD,Bangladesh,2022,2022-05-13,Week,2022-05-23,Week,"India, Bangladesh: Flood - Northeastern Districts - 13/05/2022",2,Weather related,3,Hydrological,10,Flood,13,,5494,5500,60,60,"FL-2022-000213-IND,FL-2022-000217-BGD,FL-2022-000217-IND"
BGD,Bangladesh,2022,2022-05-14,Day,2022-05-15,Day,Bangladesh: Storm - Dhaka Division (Kishoreganj) - 14/05/2022,2,Weather related,4,Meteorological,14,Storm,21,,2030,2000,2030,2000,
BGD,Bangladesh,2022,2022-05-15,Week,2022-05-22,Week,Bangladesh: Wet Mass Movement - Dhaka Division (Tangail/Tangail Sadar) - 15/05/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,2230,2200,2030,2000,
BGD,Bangladesh,2022,2022-05-19,Week,2022-05-24,Week,Bangladesh: Wet Mass Movement - Rajshahi Division (Bogra/Dhunat) - 19/05/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,1218,1200,1218,1200,
BGD,Bangladesh,2022,2022-05-21,Week,2022-05-28,Week,Bangladesh: Wet Mass Movement - Mymensingh Division (Jamalpur/Madarganj) - 21/05/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,203,200,203,200,
BGD,Bangladesh,2022,2022-06-06,Day,2022-06-16,Day,Bangladesh: Flood [monsoon] - Cox's Bazar [Rohingya Refugee Camps] - 06/06/2022,2,Weather related,3,Hydrological,10,Flood,13,,349,350,,,
BGD,Bangladesh,2022,2022-06-14,Week,2022-06-27,Week,"Bangladesh: Flood [monsoon] - Sylhet, Mymensingh  - 14/06/2022",2,Weather related,3,Hydrological,10,Flood,13,,481827,482000,0,,FL-2022-000217-BGD
BGD,Bangladesh,2022,2022-06-19,Day,2022-06-19,Day,Bangladesh: Landslide/Wet mass movement [monsoon] - Chattogram Division (Chattogram) - 19/06/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,589,590,,,
BGD,Bangladesh,2022,2022-06-23,Week,2022-07-03,Week,Bangladesh: Flood [monsoon] - Rangpur Division (3 Districts) - 23/06/2022,2,Weather related,3,Hydrological,10,Flood,13,,2873,2900,940,940,
BGD,Bangladesh,2022,2022-06-23,Week,2022-07-03,Week,Bangladesh: Flood [monsoon]- Rajshahi  Division (Siraganj) - 23/06/2022,2,Weather related,3,Hydrological,10,Flood,13,,100,100,100,100,
BGD,Bangladesh,2022,2022-08-02,Day,2022-08-02,Day,Bangladesh: Landslide/Wet mass movement [monsoon] - Sylhet Division (Sunamganj/Sunamganj Sadar) - 02/08/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,244,240,244,240,
BGD,Bangladesh,2022,2022-08-03,Day,2022-08-03,Day,Bangladesh: Landslide/Wet mass movement [monsoon] - Rangpur (Kurigram/Kurigram Sadar) - 03/08/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,142,140,142,140,
BGD,Bangladesh,2022,2022-08-03,Week,2022-08-14,Week,"Bangladesh: Storm surge [monsoon] - Barisal, Khulna (Bagerhat, Jhalakathi, Barisal, Barguna) - 03/08/2022",2,Weather related,4,Meteorological,14,Storm,22,,25000,25000,,,
BGD,Bangladesh,2022,2022-08-07,Day,2022-08-07,Day,Bangladesh: Landslide/Wet mass movement [monsoon] - Rajshahi (Chapai Nawabganj/Shibganj) - 07/08/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,187,190,187,190,
BGD,Bangladesh,2022,2022-08-22,Month,2022-09-22,Month,Bangladesh: Erosion - Dhaka Division (Shariatpur/Zanjira) - 22/08/2022,2,Weather related,2,Climatological,6,Erosion,8,,812,810,812,810,
BGD,Bangladesh,2022,2022-09-07,Week,2022-09-14,Week,Bangladesh: Erosion - Dhaka Division (Gopalganj/Gopalganj Sadar) - 07/09/2022,2,Weather related,2,Climatological,6,Erosion,8,,73,73,73,73,
BGD,Bangladesh,2022,2022-09-08,Week,2022-09-23,Week,Bangladesh: Erosion - Dhaka Division (Faridpur/Faridpur Sadar) - 08/09/2022,2,Weather related,2,Climatological,6,Erosion,8,,162,160,162,160,
BGD,Bangladesh,2022,2022-10-01,Week,2022-10-04,Week,Bangladesh: Erosion - Dhaka Division (Munshiganj/Lohajang) - 01/10/2022,2,Weather related,2,Climatological,6,Erosion,8,,37,37,37,37,
BGD,Bangladesh,2022,2022-10-14,Week,2022-10-14,Week,Bangladesh: Erosion - Rangpur Division (Kurigram) - 14/10/2022,2,Weather related,2,Climatological,6,Erosion,8,,69,69,69,69,
BGD,Bangladesh,2022,2022-10-22,Week,2022-10-22,Month,"India, Bangladesh: Cyclone Sitrang - 22/10/2022",2,Weather related,4,Meteorological,14,Storm,24,,1000000,1000000,0,,FL-2022-000354-BGD
BGD,Bangladesh,2022,2022-11-01,Day,2022-11-01,Day,Bangladesh: Erosion - Dhaka District (Manikganj) - 01/11/2022,2,Weather related,2,Climatological,6,Erosion,8,,61,61,61,61,
BGD,Bangladesh,2023,2023-03-23,Day,2023-03-23,Day,Bangladesh: Tornado - Khulna Division (Shymnagar) - 23/03/2023,2,Weather related,4,Meteorological,14,Storm,23,,1624,1600,1624,1600,
BGD,Bangladesh,2023,2023-03-31,Day,2023-04-01,Day,Bangladesh: Storm - Barisal Division (Patuakhali) and Khulna Division (Bagerhat) - 31/03/2023,2,Weather related,4,Meteorological,14,Storm,21,,49,49,49,49,
BGD,Bangladesh,2023,2023-05-08,Week,2023-05-15,Week,"Bangladesh, Myanmar , India, Sri Lanka: Tropical Cyclone Mocha - 08/05/2023",2,Weather related,4,Meteorological,14,Storm,24,,1299836,1300000,13325,13000,"AHA-TC-2023-000504-MMR,FL-2023-000073-BGD,TC-2023-000069-MMR,TC-2023-000071-BGD"
BGD,Bangladesh,2023,2023-05-15,Day,2023-05-15,Day,"Bangladesh: Storm - Barisal Division (Patuakhali, Kalapara) - 15/06/2023",2,Weather related,4,Meteorological,14,Storm,21,,16,16,16,16,
BGD,Bangladesh,2023,2023-06-19,Month,2023-06-20,Month,"Bangladesh: Erosion - Rangpur, Chattogram and Khulna - 20/06/2023",2,Weather related,2,Climatological,6,Erosion,8,,467,470,467,470,
BGD,Bangladesh,2023,2023-06-22,Week,2023-06-22,Week,Bangladesh: Erosion - Rajshahi Division (Sirajganj) - 23/06/2023,2,Weather related,2,Climatological,6,Erosion,8,,8,8,8,8,
BGD,Bangladesh,2023,2023-06-22,Week,2023-06-24,Week,Bangladesh: Erosion - Mymensingh Division (Jamalpur) - 24/06/2023,2,Weather related,2,Climatological,6,Erosion,8,,609,610,609,610,
BGD,Bangladesh,2023,2023-06-23,Month,2023-06-23,Week,Bangladesh: Erosion - Dhaka Division (Tangail) - 23/06/2023,2,Weather related,2,Climatological,6,Erosion,8,,203,200,203,200,
BGD,Bangladesh,2023,2023-07-01,Week,2023-07-01,Week,Bangladesh: Erosion - Rangpur Division (Kurigram) and West Bengal (Lalmonirhat) - 01/07/2023,2,Weather related,2,Climatological,6,Erosion,8,,1218,1200,1218,1200,
BGD,Bangladesh,2023,2023-08-05,Week,2023-08-09,Week,Bangladesh: Flood [Monsoon] - Chattogram Division (Cox's Bazar) - 05/08/2023,2,Weather related,3,Hydrological,10,Flood,13,,213214,213000,37687,38000,FL-2023-000157-BGD
BGD,Bangladesh,2023,2023-08-11,Day,2023-08-11,Day,Bangladesh: Erosion [Monsoon] - Bandarban - 11/08/2023,2,Weather related,2,Climatological,6,Erosion,8,,28,28,28,28,
BGD,Bangladesh,2023,2023-08-16,Day,2023-08-16,Day,Bangladesh: Erosion [Monsoon] - Sirajganj (Multiple regions) - 16/08/2023,2,Weather related,2,Climatological,6,Erosion,8,,8,8,8,8,
BGD,Bangladesh,2023,2023-08-25,Day,2023-08-25,Day,Bangladesh: Erosion [Monsoon] - Manikganj (Harirampur) - 25/08/2023,2,Weather related,2,Climatological,6,Erosion,8,,97,97,97,97,
BGD,Bangladesh,2023,2023-08-31,Week,2023-08-31,Week,Bangladesh: Erosion [Monsoon] - Lalmonirhat (Aditmari) - 31/08/2023,2,Weather related,2,Climatological,6,Erosion,8,,102,100,102,100,
BGD,Bangladesh,2023,2023-09-02,Day,2023-09-02,Day,Bangladesh: Erosion [Monsoon] - Kamalpur (Ichhamara) - 02/09/2023,2,Weather related,2,Climatological,6,Erosion,8,,406,410,,,
BGD,Bangladesh,2023,2023-10-24,Day,2023-10-25,Day,Bangladesh: Cyclone Hamoon-  Chattogram (Chattogram and Cox's Bazar) - 24/10/2023,2,Weather related,4,Meteorological,14,Storm,24,,273000,273000,,,TC-2023-000208-BGD
BGD,Bangladesh,2024,2024-04-29,Day,2024-05-06,Week,Bangladesh: Flood - Sylhet - 29/05/2024,2,Weather related,3,Hydrological,10,Flood,13,,51000,51000,,,
BGD,Bangladesh,2024,2024-05-25,Week,2024-05-28,Week,"India, Bangladesh: Cyclone Remal - India (multiple states), Bangladesh (multiple districts) - 25/05/2024",2,Weather related,4,Meteorological,14,Storm,24,,1086725,1087000,171839,172000,
BGD,Bangladesh,2024,2024-06-01,Month,2024-06-25,Month,Bangladesh: Flood [Monsoon] - Sylhet and Sunamganj  - 1/06/2024,2,Weather related,3,Hydrological,10,Flood,13,,723331,723000,,,FF-2024-000100-BGD
BGD,Bangladesh,2024,2024-08-02,Day,2024-08-02,Week,Bangladesh: Erosion [Monsoon] - Kaliganj - 02/08/2024,2,Weather related,2,Climatological,6,Erosion,8,,64,64,64,64,
BGD,Bangladesh,2024,2024-08-19,Day,2024-08-20,,Bangladesh: Landslide/Wet mass movement - Cox's Bazar (Maheshkhali and Pekua) - 19/08/2024,2,Weather related,3,Hydrological,11,Mass Movement,15,,4,4,4,4,
BGD,Bangladesh,2024,2024-08-21,Day,2024-08-21,Month,Bangladesh: Flood [Monsoon] - Multiple Districts - 21/08/2024,2,Weather related,3,Hydrological,10,Flood,13,,540510,541000,,,FF-2024-000154-BGD
